Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D82,D_Small,Diode_SOD-123_noref2,133.95,-155.7,90,top
D83,D_Small,Diode_SOD-123_noref2,194.03125,-159.1875,90,top
D84,D_Small,Diode_SOD-123_noref2,217.84375,-159.1875,90,top
D85,D_Small,Diode_SOD-123_noref2,241.65625,-159.1875,90,top
D86,D_Small,Diode_SOD-123_noref2,265.46875,-159.1875,90,top
D87,D_Small,Diode_SOD-123_noref2,291.6625,-159.1875,90,top
D88,D_Small,Diode_SOD-123_noref2,310.7125,-159.1875,90,top
D89,D_Small,Diode_SOD-123_noref2,310.7125,-151.35,90,top
F1,Fuse_Small,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,184.325,-66.5,0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,155.925,-40.7,180,top
LC1,100n,C_0402_1005Metric_noref,318.025,-128.475,0,top
LC2,100n,C_0402_1005Metric_noref,318.025,-118.975,0,top
LC3,100n,C_0402_1005Metric_noref,323.675,-118.975,0,top
LC4,100n,C_0402_1005Metric_noref,323.675,-128.475,180,top
LC5,100n,C_0402_1005Metric_noref,302.925,-164.3,-90,top
LC6,100n,C_0402_1005Metric_noref,301.975,-164.3,-90,top
LC7,100n,C_0402_1005Metric_noref,7.975,-164.425,-90,top
LC8,100n,C_0402_1005Metric_noref,7.02,-164.425,-90,top
R1,27.4,C_0603_1608Metric,287.125,-119.625,180,top
R2,27.4,C_0603_1608Metric,287.125,-121.125,0,top
R3,10k,C_0402_1005Metric,297.825,-112.525,180,top
R4,1k,C_0402_1005Metric,297.825,-111.577096,180,top
R5,300R,C_0402_1005Metric,299.6,-65.8,180,top
R6,1K,C_0402_1005Metric,270.25,-121.625,180,top
R8,300R,C_0402_1005Metric,0.555,-126.325,0,top
R9,5.1k,C_0402_1005Metric,159.25,-45,0,top
R10,5.1k,C_0402_1005Metric,154.325,-45.525,-90,top
R11,300R,C_0402_1005Metric,284.725,-125.35,180,top
U1,XC6206PxxxMR,SOT-23,299.159619,-119.340381,-90,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,293.7,-113.35,180,top
U3,RP2040,RP2040-QFN-56,279.8125,-116.4625,-90,top
U4,SRV05-4,SOT-23-6,187.25,-54.25,180,top
ULED1,SK6812MINI-HS,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_2,318.025,-125.75,180,top
ULED2,SK6812MINI-HS,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_2,318.025,-121.725,180,top
ULED3,SK6812MINI-HS,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_2,323.675,-121.725,180,top
ULED4,SK6812MINI-HS,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_2,323.675,-125.75,0,top
ULED5,SK6812MINI-HS,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_2,305.45,-168.075,90,top
ULED6,SK6812MINI-HS,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_2,301.425,-168.075,-90,top
ULED7,SK6812MINI-HS,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_2,10.425,-168.15,90,top
ULED8,SK6812MINI-HS,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_2,6.4,-168.15,-90,top
Y1,ABM8-272-T3,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,270.25,-118.2,-90,top
